date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII
2019-09-05,0.75069416,0.5307984,0.48219863,2.7753308,0.55053765,-0.54001665,0.26797658,0.54564035
2019-09-06,0.75236344,0.52949214,0.48089856,2.7802062,0.55155396,-0.54300314,0.26870176,0.54557717
2019-09-07,0.75398815,0.52735454,0.47899783,2.7849383,0.55242324,-0.545764,0.26950207,0.5457669
2019-09-08,0.75557226,0.52447385,0.47656894,2.7895412,0.5531595,-0.54831517,0.27037176,0.5461853
2019-09-09,0.7571197,0.52093816,0.4736844,2.7940285,0.5537765,-0.5506724,0.27130505,0.54680794
2019-09-10,0.75863457,0.5168355,0.47041672,2.7984138,0.55428827,-0.55285156,0.2722962,0.54761046
2019-09-11,0.76012075,0.5122542,0.46683845,2.8027105,0.55470866,-0.5548684,0.27333936,0.54856855
2019-09-12,0.76158226,0.50728214,0.46302205,2.806933,0.5550516,-0.55673885,0.27442878,0.5496578
2019-09-13,0.763023,0.5020076,0.4590401,2.8110943,0.555331,-0.5584787,0.27555874,0.5508539
2019-09-14,0.76444703,0.49651867,0.45496508,2.8152084,0.55556077,-0.56010383,0.27672338,0.5521324
2019-09-15,0.76585823,0.4909035,0.45086953,2.8192892,0.5557548,-0.56162995,0.277917,0.55346906
2019-09-16,0.7672607,0.4852502,0.44682592,2.8233502,0.555927,-0.563073,0.2791338,0.5548394
2019-09-17,0.7686583,0.4796469,0.44290683,2.827405,0.5560913,-0.5644488,0.28036797,0.5562191
2019-09-18,0.770055,0.47418168,0.4391847,2.8314674,0.55626154,-0.5657731,0.28161377,0.5575838
2019-09-19,0.7714549,0.46894273,0.43573213,2.835551,0.55645174,-0.56706184,0.28286543,0.5589092
2019-09-20,0.7728618,0.4640182,0.43262154,2.83967,0.55667573,-0.56833076,0.28411713,0.56017077
2019-09-21,0.7742798,0.4594961,0.42992553,2.8438373,0.55694747,-0.56959575,0.28536317,0.5613443
